YYYYQ,DUR,HOM,CAR
20122,2.698201199200533,1.9267155229846769,2.6242504996668887
20123,2.5512736773350753,1.8778576094056172,2.5480078380143696
20124,2.5445544554455446,1.8666666666666667,2.6627062706270626
20131,2.3375499334221037,1.8508655126498004,2.5652463382157125
20132,2.386499007279947,1.788881535407015,2.4632693580410323
20133,2.3674818241903504,1.8182419035029742,2.577660277594184
20134,2.4,1.8960264900662251,2.600662251655629
20141,2.2554455445544552,1.9452145214521452,2.541254125412541
20142,2.372277227722772,1.970957095709571,2.5504950495049505
20143,2.2488418266048975,1.9384513567174058,2.5043017868960953
20144,2.0610889774236387,1.8227091633466135,2.2828685258964145
20151,1.9788639365918097,1.8051519154557463,2.2562747688243063
20152,1.9880715705765408,1.797216699801193,2.298873426110007
20153,2.0690095846645367,1.8900958466453675,2.379552715654952
20154,1.9144173798551678,1.901250822909809,2.2639894667544436
20161,1.9156471345782358,1.9414037347070188,2.231809401159047
20162,1.9375394321766561,1.9444794952681388,2.216403785488959
20163,1.9766187050359711,1.9436450839328536,2.381294964028777
20164,1.940123111359821,2.089535534415221,2.4818130945719084
20171,1.9014396456256921,1.978405315614618,2.2109634551495017
20172,1.9163456246560264,2.0803522289488168,2.3450742982938912
20173,1.9174463401210786,2.2030820033021463,2.419922949917446
20174,1.7805953693495038,2.133406835722161,2.24090407938258
20181,1.749189189189189,2.2421621621621624,2.368108108108108
20182,1.8737596471885336,2.2006615214994487,2.3726571113561192
20183,1.9692814042786615,2.3208996160175537,2.5842018650575973
20184,1.8566685113447703,2.420033204205866,2.6657443276148314
20191,1.9922308546059933,2.411209766925638,2.633185349611543
20192,2.005540166204986,2.3119113573407204,2.5473684210526315
20193,2.0792682926829267,2.350332594235033,2.555986696230599
20194,1.9060052219321149,2.268929503916449,2.4182767624020887
20201,2.031557165028453,2.2348680807035697,2.5602690118986033
20202,3.0196808510638298,2.6372340425531915,2.447340425531915
20203,2.8540772532188843,2.3374463519313307,2.542381974248927
20204,2.820441988950276,2.3049723756906078,2.730939226519337
20211,2.6896742131419105,2.4908890115958036,2.8641634456101603
20212,2.7922865013774105,3.1922865013774104,3.128925619834711
20213,3.2098017621145374,3.701541850220264,3.7136563876651985
20214,3.4488667772249864,3.5627418463239358,3.9640685461580984
20221,3.5160753880266076,3.587583148558758,4.142461197339246
20222,3.6600110926234053,4.03771491957848,4.264004437049362
20223,3.6541019955654104,4.056541019955654,4.242239467849224
20224,3.480022197558269,4.29023307436182,4.091009988901221
20231,3.305324459234609,4.095673876871881,3.7462562396006653
