YYYYQ,PINC,PINC2,PJOB,PSSA,PCRY,PSTK
20144,35.55776892430279,48.16135458167331,5.0,38.35922974767596,3.1713147410358564,55.23837981407703
20151,38.99471598414795,51.38243064729194,10.0,36.866578599735796,3.190885072655218,56.123513870541615
20152,40.38899933730948,50.08614976805832,10.0,37.95891318754142,3.1709741550695827,55.95891318754142
20153,40.586581469648564,51.25623003194888,10.0,37.01597444089457,3.2006389776357826,52.844728434504795
20154,40.844634628044766,51.5523370638578,10.0,36.74917709019091,3.154048716260698,51.71296905859118
20161,39.80038634900193,49.02060528010303,10.0,35.940115904700576,3.1551835157759176,49.28976175144881
20162,39.65173501577287,49.57350157728707,10.0,37.271924290220824,3.14006309148265,52.02965299684543
20163,38.52877697841727,48.360911270983216,10.0,36.55755395683453,3.2032374100719423,52.743405275779374
20164,40.17067711247901,50.020145495243426,10.0,36.93340794627868,3.067151650811416,52.61499720201455
20171,41.51052048726467,52.296234772978956,10.0,39.20321151716501,2.9939091915836102,56.82613510520487
20172,42.301596037424325,51.503026967528896,10.0,38.45954870665933,2.926252063841497,56.89543203082003
20173,42.03522289488167,53.90698954320308,10.0,38.41221794166208,2.871766648321409,57.48816730875069
20174,43.99779492833517,55.253583241455345,10.0,38.93329658213892,2.9448732083792724,59.78721058434399
20181,43.07081081081081,54.332432432432434,5.0,40.14702702702703,2.8583783783783785,59.88594594594595
20182,42.268063982349695,53.55181918412348,6.5,38.13506063947078,2.8417861080485114,58.063395810363836
20183,43.42676906198574,55.822819528250136,5.0,39.93417443773999,2.811300054854635,59.43390016456391
20184,43.512451577199776,55.55949086884338,5.0,40.416159380188155,2.8240177089097953,58.3907028223575
20191,44.82408435072142,54.458934517203105,5.0,40.19089900110988,2.8351831298557157,55.18756936736959
20192,43.694736842105264,56.17894736842105,5.0,40.61108033240997,2.8509695290858725,58.165096952908584
20193,43.5559866962306,56.62583148558758,5.0,40.89079822616408,2.895232815964523,57.21452328159645
20194,44.51383812010444,56.09660574412533,5.0,42.66788511749347,2.7765013054830288,57.83446475195822
20201,44.838075530263836,56.37609932747025,5.0,43.88929125711329,2.7242628039317123,59.884635281945165
20202,43.14202127659574,46.83457446808511,10.0,44.986702127659576,2.907978723404255,53.85797872340426
20203,44.15611587982833,50.62607296137339,10.0,44.608369098712444,2.8589055793991416,55.79130901287554
20204,45.09613259668508,52.70110497237569,10.0,44.1243093922652,2.818232044198895,57.68839779005525
20211,41.8961899503037,52.20099392600773,10.0,42.2076200993926,2.8172280508006624,58.21258972943125
20212,42.20771349862259,53.163636363636364,10.0,43.22644628099174,2.8986225895316804,60.30413223140496
20213,39.61233480176212,52.904735682819386,10.0,41.0726872246696,3.0038546255506606,57.732929515418505
20214,38.94914317302377,54.39248203427308,5.0,42.278054173576564,3.0221116639027086,59.66500829187397
20221,37.26219512195122,52.04933481152993,10.0,42.09977827050998,3.098669623059867,54.886917960088695
20222,35.33555185801442,52.277870216306155,5.0,40.67165834719911,3.2440377149195783,50.81475318912923
20223,35.63968957871397,50.5149667405765,5.0,38.84146341463415,3.405210643015521,45.713968957871394
20224,35.5188679245283,54.282463928967815,10.0,40.51997780244173,3.450610432852386,46.26193118756937
